6f8d66d1,4231b02e,a8e8d373
876b1314,76c9f088,752e807f
555200cb,6997b8b3,45afe132
a0adb835,1b26b495,46a28065
bd068620,a720a32d,7cf8d71b
660853b2,b90a5eb3,9566936b
eabca806,fc51a76a,e3b49fa7
12f8bc7,413c3896,8a09d79f
2044727c,bee6dda8,4d17c6bf
bcd1ef00,6f3fe388,385e27c0
90cb33d6,afb73a3,a2228a1b
4c7ceca1,9e99c4d3,d9e329af
e41ab9e7,3e6be824,496b79c6
5f71c07c,29bb9a38,29b3a453
cbf0a660,567c6aee,c00ac58a
4671dbd7,fad160ed,bc94e0dc
e50ecbac,b8156078,14ae7043
add3c79f,2bc94c8,56e7e883
aa3a96c0,8b7c383d,e503c2f0
5a8c2672,485d15d2,f3774f05
42e5c130,a88d374e,49f853dc
2867f74c,2c025af8,3cdb26de
21f69b1f,544464a7,8c910ecf
9d93a6dc,8321180c,d74c2f79
40f5cedd,3e32a48b,51b6758f
3228572b,b96f11ef,a1ca5477
36574f06,32ae8972,ebf64abc
20d8492e,ad8263d9,b1a8acc2
9894594c,8846b4f7,f21074ab
45fc2a09,3c57ae63,e1efa002
7193068d,f534e304,c211c379
51b62aff,f03c896e,fd0d758
4184b818,819b0833,e303f1a2
da4ae0f7,f6472961,8fad8b33
c06baf92,41b23e16,c4c8dcac
3a0bdead,43a85c62,7040162f
5827d679,993c2d08,d95ad773
7c8a7e3d,50eb5cc4,140ec5bd
315dd5c5,a860e61b,ab24f9df
d82095f3,5fdae827,3fc2e2cb
dd7744c7,868f4475,c65ff53
6dbf9f0c,fbd62845,934a121a
d3218327,a1f3f39a,23272c0
ed643df1,3e918d1,c3929d65
bb886400,ee960231,fabf7617
42f15d4c,78d0523e,cc91d186
aa57eca,d79d5ed3,3a7f5929
87bd2f19,3f86b893,dbda836
53e6d3c5,aee4f74b,dfe51b1f
a547c71,b0c0fddc,aa5776bc
2f3dc3ea,8ca2dabd,8ec362dc
c1b0ce2b,15a02fca,47e23796
dbf36db6,305ea32d,ea893da3
571a2eee,9009c7d7,dea661
7e6869d0,d7c7dc4b,97d9c364
6bbf91f3,96a475d5,b1c63154
dc5045d0,1c12abbb,9bf55de5
570ec327,fac634d1,e1df3f79
b612ed1a,f15ac981,8ea75837
c29e675f,5ebd9adb,8f1bde0a
65edeb49,115818c9,e0965aac
ece5028f,288fbb6e,3fb53b3d
854d6c92,8ac59940,a3c50a08
37b248e7,e7f3db40,45b4fbbd
94c4bdf6,6598066d,36633f4e
b0a43510,75089f0a,113bc736
f7109b76,eeaf8f0d,fea27fcb
18ed2fec,e6fd13a7,232e7c76
84cdface,ea7d0c4c,1936f304
191c08cb,1ca414af,ef559fbd
d60a0edb,cdcc1804,c5c21d7c
130cc586,e6c9749a,cac7a438
8f122f57,3c7b1922,af56bc3a
96437ebf,8702fe9b,d71d3f7d
bcb01548,11819286,ff0fb4b9
4cb03511,c16970f7,21f71f3a
227d73c5,a084a047,66c751bb
9c6ee662,f675203e,a9ccba2b
8b6211b5,7455579f,840386c1
4b74c93a,9989a06d,7e8d5c2e
8b56505f,b842c13b,f6c582cc
bb214e5f,6e1116c6,69899524
fe44480e,f6485fd1,e14a5409
4437ca75,622bcfc4,9e51f14d
8abbacfd,73203733,8ee3845
6b5d065d,b71b7347,6f5e6a17
ea930da6,28f513be,486cb195
77968535,915b022,84cee2cd
dce06a0c,1ff429d1,df87f130
5bea40e,b3cef126,2a51c8c2
9a645f51,b840df42,b5d85da3
79d696bd,37653d88,70d3aedf
23a726d4,203feacb,1f79e2c0
4406106d,ca679e1e,ebe176a4
1741fb0e,744b82c7,f0105616
33767095,639a7b62,fb02d5a7
717e3b8a,62dad8c,d464348c
ab42c1b4,85d4c8f7,102a4de7
dd205b0f,c54297d4,63601bb2
c0440a05,d58a296e,6af54a51
676936f1,67761401,1b94e1d8
76b0f47,38ea2363,d53f22f1
6578116d,aa055d9a,bdda6f55
84ec91a5,10928002,38ce75b1
f7acdff6,624a6636,b0fecbd4
358fe2f4,2882ee4,9b41f61d
16d3b687,955ab3d9,f277fba0
50ae211c,b86eff05,a5d7d73c
5584283d,8c506906,ba352531
3d5a0c5a,9a48e22d,1a729fd
e3beb512,f348d785,c022af22
88c15d85,2dd346d7,f2930090
60cd787c,73314a76,399525e8
4e07e6a0,ab7519e1,8413670b
9f9cd59d,b140e6e,a0c5a923
a8760c66,72b61b0,7318c271
3e633ccb,4438214d,ed937430
5752dbb9,c2c5347d,3948d1e9
1e2592ce,9ae7c09e,db7f2c3c
c46fdf25,4e6e8f77,337e58f4
199b53b1,d60c546c,dc1d62ad
37e38312,11ac5c1b,27fa6488
e0482f84,463082dd,397469b
c7be9102,dddde0f7,9ecf00ca
f68cb3c7,8a53736e,d276cf9e
14d2bb8c,5789436a,fd055701
7b5a670d,685b6dd6,1f454358
b8f0cf6e,d9e03dcb,4ac85405
8934c612,3435d3d0,3eeec4ff
11943a19,3f07289,a22a7cb3
f11c4356,a982039,4dfe149
5e633784,c71ec674,97391d1d
71758a0c,c917b19c,1cb8e4bc
5b54bef9,bb7313c3,c7ec4a7a
289cd0e2,e680be8a,1995fcdb
3b5c4ba7,f3cca8a4,400bcf9d
731ca50,bce51bb5,30d1d33c
227ec97e,20345263,78728530
140d9508,97845f03,69341e39
e0138bc7,7bbbf1fa,757b5452
eaab7cb4,f90df11b,b3f3a847
24c6d798,1544281b,5401ac12
4b6854d1,4f5ff01f,bcb5923a
6cde5d2,990ec03a,26d7c8a2
f6f5016a,96b1f805,4fbb353a
ed669225,df099c16,f43e2278
f3abdf1,fa867ddd,b3bd356a
8d623b50,57ca912,23d54576
8cb9c454,52203d0d,fd2cb496
3db809a5,23054686,b75138a3
9c65a105,e2ca597e,397ae3c3
6e33fa5d,1913b9ed,7a81c0db
c42685df,6b531052,2a6f5f73
327b0971,3808cf86,6d63fa51
4eade8c3,d87b2ff6,1a34e06a
dcf6f767,a7e59ff7,343a42a1
e63bf4af,d2b0e57,49e14e93
c9090f78,fa7f707d,42d8472d
431b5335,579fa427,f9522772
6ca62e65,66127c6d,1a56ef10
1d9f8bd5,9952bb63,99e8a4da
1458c496,9bdaf012,2a15359e
5626b5d9,4a9fe93b,27b1bab
32b5af3e,204eb42a,42294725
64f91bb2,6dcae451,1e6fd6d6
d8619c87,1fd37b42,c275d70c
4d236ed8,21561e71,b5cdb792
a80eea74,29709571,627b06d5
81a5fccc,30bf9f9,fee383be
3f67417f,7b481153,d979baa0
5b0f5118,cdfba2a7,f98e023c
1bbc9a41,5046b9c8,2a55673
86228883,8c93416c,3693b4e4
4547c2da,ff923e58,5f95252e
8358ab2e,3844aaf7,40706ab6
99960948,59915462,2004be0b
9dd749b0,95f67490,15c50d3d
c1d805d9,db3a3c99,a11ae113
a5ea0f51,9c704cbe,8fd5dbda
6d2e1029,64a1dd08,796c7a8d
89513305,9a25ed85,fa942e3f
3035af40,ca5b8578,58e3c038
b5d0582,41f15c35,3f4f81d6
74b464da,3f4055f,319d7eda
18ee7c62,da61e6d,319f62a2
5ebc2927,ed575d32,a7bbaa77
2b87eaa9,db7bb155,86edf1d7
d8c8c29,4d887ce6,23966d7a
ee00dca6,4c6fd8ae,54147642
35ab58e2,2fab3086,6c2b9b2f
40941372,4e950378,205b343a
5bb32c5,1bce85e4,ffb0d50f
7e0658b8,6c48d66c,383ac3a5
3f298bfd,f244bdb3,2682948d
65be1b6f,4370e258,e9ae0f15
60f7f030,75d2efde,20ac3c6
8b0146f8,fcfb03a,231de6a6
84751078,d9bebbf9,9ba8dbbb
60ca9db3,edf1df8a,bddcc60d
786f5146,66df3a0f,fcab2fc5
c587cf9f,52e451d8,21b63bbf
7aed1498,12f48593,c31b8e86
3326b93f,e4ac4f96,423c35c6
4127d138,e08e1591,a7a7e82e
1d98ba02,7ffd0b6c,f2405282
8fed40e5,4c6e6f41,3abd5363
1f906d2,55d8b3ee,3a2e3dca
990059d,f7bded14,e6f9d5c4
a51eb41f,ec9ae508,2e777604
96dfc12c,9f11a8e6,7f8353b7
b6fef2d9,2bc39d8f,99d3d913
93aa8048,34dca2f8,cd59c5df
7546e0fa,ee3ed88,b1b564d7
8b9e2e4f,8d059975,b9bea
4d29a9bf,4ca44912,1fb0a4c1
83c3dca0,3cbe27bf,caa4613b
8dc63a62,ad07bf0f,b4f50a59
bbcaa3ae,62205493,19d3dca2
3e7651db,40db6ed8,437268b7
49a8c6a0,3d8bb07,7eafc697
58c0e328,68279ce3,e9129358
677faa8a,4168ea86,50012184
156012e0,3dea9742,321237d5
bc535ff4,bc77f15e,2dd8654
59271cb5,1eb6ed0b,bb6e3bfb
d4dd2390,e101d68f,6d9db7d4
58211d33,ad6b2608,3735e6d
b5cefdb2,31a370cd,6d9b63aa
b292f855,d571b0f8,7d2274e
2a67d8b6,4159e5ba,146f1f41
ca880765,3d6661a8,7c98a7ae
e502806b,abbd4a1a,12fba561
cf9df43e,255a5b83,48c044ab
f97cc9c0,a939de91,4859975a
16605507,f41e7a2a,b471a98e
6b91224a,d29934b0,c0885da6
6cdaa889,a2a527e8,acf90ba6
c37bda58,357b08,7ad782c1
e4a03371,1fe06d40,adce2709
4b1e8fa0,fded9c1a,4dc8f871
74372719,c8d4a1a9,ccebdcb
b1c9fb6a,c8d615fb,c5ba07db
c1ae034f,2d8a9f76,f060c576
68d25a60,a91d7b8d,5076fdb6
45fad91f,701be309,369824d1
43984107,77733bb0,e5bd3480
b965c32a,8cd759c0,c2b96f53
54b72532,cbcc82be,9d286f6e
c3f93fca,ed8ec5aa,c5bf45c1
26fd66f0,2e6b8ae,781551ac
981a5983,e3ce4ac,8d360edf
dc50faa5,4f6f3b5f,49a5aa4d
7fd2a775,5d6c58b8,a62130d1
ae0e22d3,84aa25d6,7a7da6c2
8738900f,22050dd0,acb40ff9
387b9094,531f6639,3b845b9e
119498b9,afa3d8a6,6120f4a1
6c9ac123,382e9c72,511ccaa1
4d526db0,875d2843,bb21dc8c
d66f589b,bba60116,5b2fb94f
f86e39cc,b977af00,1a8aa290
a251174,3a06deb0,2745e5bd
20a89dd3,fcb7ea9c,9574a2cc
73ab5856,f5af3dad,1fdbe858
1150ec44,11054825,e58db534
ad28ca3f,d5060aea,f2651e77
443b5086,63dbf78f,96c28360
662ea83b,51136c40,d20aa65b
6c3ad98b,53260111,59304738
2be04699,34c93f64,859c0fea
30460683,d6ce6427,91ec0bd
be03214d,7d04f92c,940d8c54
18d2c890,ea7b962a,cf8c298b
33d6e3bb,6a887f0c,9f4d6053
cb6dafdc,657178c0,2b58c1f9
b5a5998,76937bbc,7057008c
46fb9340,645462b2,fe9c6ce4
598b6a3b,c8268f11,63491a49
9c0bfd4c,6d320078,26cec154
2f69b73d,71e25380,dbb33ab8
72c4d86d,40b9339e,9b5b5665
dc3edfeb,eb8681ab,aecb0cf2
8de2b3e7,e26fa98,2539e3b6
2a5bdab1,d98f3f65,f55fb476
5ced136e,420b71f,90bf6235
1240aa93,ec4c50fb,48d4171f
538313c8,aac896a8,571e2e7b
c885d98c,fba0b62f,4dc9ec5a
394fc410,b795bcab,f3b3d496
34bffccf,b3214a73,93486cb0
687faba2,e78f48db,5d50ba06
651e826f,4cb646c7,4708e564
5c9116a3,b6fb5542,82483d42
e23e8789,87c412d0,1848e9f6
13296e0e,cb07a62,a57d0dfc
f0303d69,1d7d3148,212a129f
7db200fb,699926a0,19e72da3
6dd4af2d,61c6d8fb,94fe40c8
9fc12f4a,55223197,1c947ef0
6b975eb,9e6740e7,e54d89ba
5547458a,db9a89a,5ba8205a
ed44cd16,25807799,d7601c45
25b3e4f3,1ccc6a1e,8e51e01
3f842803,625abb5f,cbc78d04
83f725fb,e9c6eddc,c72915c1
589e6490,e5cf7c2d,f0f01d75
202e6d28,2ea96732,3d13a128
52b17f00,7aedffdf,82a29c43
4e626ac1,e5b2e1d8,2cd50d4f
f619df2a,eee87ccd,8343635f
69375e82,fdfe8cee,e9e0d406
e9bd59d1,3be78ff5,6e67cd13
2bc3533e,e54d4e4d,322bc641
7af93bd8,b8f49391,6239f2ff
3444322b,bffd4dce,68c9ed4d
15a984ab,3c2a0311,c06295af
23a4771a,6209ae79,5baab052
39c06d33,2634ed74,5c36f323
a30bd868,543bde11,d52422a2
59588a56,68d1d57e,9fadb2c2
a39095fa,e92a91c5,74de5098
5e266798,746c95d0,e05b0397
1f6785f9,65cc3034,c6d38448
4e32f258,c1ee6e8,90aa7e85
b7e1d8df,23850a17,3a98221a
667ac3c8,f8505e6b,dc39483a
5920c092,916c61cf,7531386f
3ed53780,6925fe4c,e916b936
194d9c92,86bae6b3,6c1b77df
9210503f,4d0da608,5ebceb28
78575e13,2e794b6b,5b2820b3
ba21d9d2,86b3a229,7e91fd00
c88698f4,6154dbb2,654ebb18
66a67ed4,df3343a4,c5b328a8
514c925a,8e8d6be8,a28b2800
29e2d136,e814cb18,93ffaeac
5a1b8418,e9f7736a,5cbb9e95
6fb7898c,d9846a95,55b40cd9
fe0cf7b,3e743cac,5f404f18
c5f42570,6641319e,f20fea34
e104dcb3,9e9f378c,90c275ca
81b82818,b0c0fa3a,e29d8483
fee0134,225ff84e,e619540
fa0e923c,a234a801,917d36e9
9f9ed7db,3000ab36,93ec4a84
28b7fc77,52ca55dd,75ea113d
a428f4b1,541189f0,df150eb7
90b9c2b,9fef37ee,e640b8a
b9c87311,5b5a6009,21b346fb
3d3e74f3,599437a8,641f1cca
9f0d4df3,b7af8e72,13138106
b1eef9d2,38dc5444,c604ee29
592a14e7,cb9ce082,7f81dcc4
40181894,3b70bd5e,9b72cdae
f2b05de1,2143c0e7,1966d73
8cd088ac,e87fc8db,52952c8a
703132fe,5c0325be,9ba24b94
6fb38a93,e96d31df,94051719
871b314b,2542ba68,7909e940
cd2ee6b1,9aa2afac,92d642e8
b8d9ad2f,7cd54cb2,7aa1ee0b
c661bb85,6503d1d3,99ec0e3e
35444889,dd0074ed,f3ea35bc
fc2b37c6,18ac5072,53433765
215f7d6c,eea574f5,b5044040
e0935e87,f510335e,30597abb
dd5d72fa,61997f0a,418e7295
2cb4f4eb,3170a367,5160deed
9ea54a65,8f9c6808,a79cd07f
9d373cde,a813f4c6,14eb2223
2903f2a7,f057ace8,68103557
24f4cc74,f7b901ef,6454be88
509ecd25,16307a1e,4b58cf6a
98e2c5af,6db0f7b9,14bbc327
1b8e15eb,4bfd1885,a271fc80
774df67a,f67b57ad,e8b05091
3d36d635,1bae745a,24d05fcf
47581d,9b698ba5,12e0464f
1c5543a1,68778b2e,3e7efb11
fa894be1,7ee2e1f9,c0d42389
1f584920,ede5fe92,1dbc42b6
f3101e64,ed2b6d79,83fd1e8a
720cab8d,ecd16b1a,f667c5a6
45bdc343,f33f73e0,b7ba22cd
1abcbeb0,3f58af05,b7eae48d
a5645057,9095da3b,df480a49
c0056b33,cf1dfc53,7b1d7603
59f333c7,e86dec64,40da891c
c8f969e1,e351d867,95848303
a2f63c71,cae8f97c,748ddc2d
8ef22643,47d6fcb0,62c943d0
d68a4bd5,cb8e6efd,252aaae8
12bf4287,c11cc362,d8956ac7
e403042c,c41048b2,ed8888d
8f87b239,7e5ed501,6e1a0f15
ec8c94d1,20f11d76,205f8c20
8cb61d2c,d0838c6c,e21c9257
dbf4f938,f2ff1968,aa91c5cc
6663f369,6166f3f4,d1338450
ee775168,a1757422,77abb349
9875c78c,f5fff7fc,f7f7a8c0
b9e983be,37f566d5,2ce1f56e
c786a334,4378630b,d8576282
bc32acfa,12e05f6d,feb89ed5
90463bee,b9e7a07a,523909ae
87ad9af1,88229498,78da154b
b3d64a75,17cb2869,b36c8a88
3702027,86a6cd3c,a7652e83
754051a6,6b91e539,257e39b
63a6611e,344cda40,f7bcc6b9
bd372c8d,bf4a0249,4eb709c
3ee438df,ead11114,d0526007
aadb78f8,45742e82,6de62e1e
1199a16b,35ee967,abb6d077
a4ed8529,661ad403,ad536d7b
adfac8f7,c3c88b67,3304145c
59e298ee,11f9aa23,266f9f81
852510df,c59fd3fa,b3a902a9
447befad,589f44a8,d5158199
20937594,dd53150b,e7c2eb59
d32b1868,9303f60,54ea6907
c964e4da,c2dded2e,e045dd1b
cbd89f1,49113260,872340f8
7829ca98,572bad20,2e59e89a
2c5408be,d858a193,4bbabd68
9bce4b58,5545d9bb,676450ba
1f3948c5,a3ba4001,d2beec11
720291a1,b83bf6d2,9af3e72f
a07cd162,2708c38e,7682c312
5e3c3314,2b51f5f9,a6047d16
558b86b3,a1e38bdd,d6d7b319
28e03fe2,444a4f58,4f7432d7
850166a9,621caea8,4d0c6c6f
9caea24f,453425b5,f92cae58
2f09fd89,de24993,5b117b36
8055ccb2,2614c0e3,e569873c
169c1964,111b8e9d,5d9f2d51
5371b95c,87eddbc4,64988b9c
6dac61f2,e5999be4,70aee7f9
4dab4513,461ab2ce,bffe00a1
1272d7c1,395fe340,ff255748
c36ac2a3,c099e3bf,e3cb2ac6
8d5762c2,5bc0bf32,8a4888e6
477fa9,d832b71d,2d71b3c7
7a0f5ec3,778f0afa,52f78bc6
534ba49,fa569b7b,845d1292
e02440d1,49787930,ea4fe5a9
e219b08c,99b943b2,795299eb
223e431,4718915b,947f8c9c
71b89052,a83f9701,b64eb46c
537b6f90,399967ee,a297b85
7b13f2fc,5baf8a49,934ab0b
8690f99c,26d621e2,c8de96ca
1e2100c7,4ff9be49,637d3ac7
d7d720b,deb838d4,82bdc0d
2ce883d1,c627314a,14e2b6d
351ac967,4669d5b0,c02d66ff
6ee80bb1,5da27cb7,50223ffc
e5f398a9,17f1a406,fc87ea0f
51d6bd53,3ee0338,a1b1caa2
6269aca4,5f974fde,1c534572
866b048c,cd8f976c,bddcf697
2ab14767,4405c6b9,1e9d7686
e31d6505,a9c3f283,d8f9acd7
48eace41,21684d62,d0f75e48
2292339f,828205ba,10d06615
4abff618,346179b2,9b73ef9c
a53ca66d,8e5a5407,d9604d45
b6c06445,eb449417,90516d6f
be7eadc2,8b3f3579,b5b69a1f
25e0f0da,163c56bf,9f0e0fbf
5984adb1,99b0a619,28139165
df77b6,d1803ced,9b10929b
de4ca9eb,7b3dd917,602c33c6
9bdcf98c,aa8855b4,1e64dbb6
d355220b,f9e4ea42,78f1b63
d392e9be,e3240ce6,49fcda69
80ec7d2b,2790b45c,5589872d
4621fc38,8ed87b91,839b9e07
f8131951,8782cd16,8535a572
9d1d9d2c,3100fe01,1da06968
fcc8f743,c6377199,ac46bbd3
cc51cfe8,86e2c1,cd17c37b
757896e2,3f72513a,606f24e9
1fe3391b,b9d41058,6d5dbcb1
7861722d,e344be22,5d396242
f41db807,d4bcfe75,7daba231
ac3da76f,965a581e,32a5dbdd
364830f2,c2b7a594,5ac26a29
80cfec5b,fc816ba,e568a5b0
496f943b,f994e421,ff9cff10
f450788f,afcc91a5,4655c44f
148be690,536d7e57,c26b43b
3580bc83,22d98544,6887a0e4
3834033f,a5872103,f8ab42b2
6fbf9bc,5da57637,429868cb
3bcb673d,fe8cf5b8,eb07cc0c
b545497d,a402ee3b,c4e383ab
70c5962e,7fc46507,b1a98ef2
14435e41,500dd1be,d218684f
d11432b7,856621fc,b706e2e8
37f91d6a,37450f7c,4e4fa5ef
3e696ee0,7a18b05a,fcf21537
36f80b49,491ceed3,c8957ae7
9b9ceeb5,5208e445,3c380af0
67beca36,983417aa,ea6a3b7
5ec468bb,e12abcf2,ab5ef3b7
d46a4a83,7ab2f630,154c510c
a483e758,38f30d81,a909ee4
6747187f,82327be4,e4944f0b
89900a76,2c7f6e5e,c2ed3326
11043b90,a0962b85,636a492f
990936c,14acf69f,63ce7667
c9ea458c,c3ca292f,369243b0
50139690,5ce9ec30,19a9221e
133eef36,2d13f144,79150c01
f46f6f22,94a65831,fe55a325
17399f29,ca737596,1a3fb168
d7669d5e,e02ba94e,d5b30d56
388f9a85,37fcca2d,7c47050a
76484e1b,b7f2abdd,a8e730e7
7512082c,cd55be12,e2451b61
febb88a6,e78fca2,6a741daf
e1b316dd,70a81f04,4899d0f3
3f3dd405,f4f5636e,283cc88c
5204d64c,b00b2594,2c2797a4
eddb991f,9349963c,74c8a779
ff69b7d6,9218d069,27f1930d
d1494e1e,fb0bf8ee,9bbe9e71
1c02aff9,27f14b7f,addd7015
30eb9dbe,eca0f919,b23eac75
878abbf6,39fcfa0,8b0cadd0
1c9a8625,49ac0dac,ee458929
b6776541,a78a80af,91e540a6
3b8223fb,29cf37ba,e6ec4dcd
e7298f2,f62d0e0b,9bb35690
454c5f8d,717a5052,6e2c151c
3129b3ee,9e358207,14c00697
52f76a2f,12aa578e,bce473f1
c3e56bff,6d8c46af,35b75544
c71b4ee4,af118fb1,2b8c7655
6d2f6b31,56e3e366,dc9905fa
ecd6a68,2967bf3c,282f6f6c
79809ba2,9aa386c5,73fa364f
6422c4e0,6f8723e8,8f747fd1
661e8d64,3de4468a,2abc11ee
b2bffcc4,f710c703,437c21d2
b8dd5a95,1358087a,7aa5656
f656ced7,7d86cef8,fcf4e379
42d4bdcb,b1c487d1,52b895d7
378d7ecb,6c3989ad,879c618d
615cac93,dbac0957,ee3e24f
3d4d8ead,61898e65,e81aa730
c0c7ec2e,23640c41,3515085a
e5acd81,d09e5a8f,6a13d2f9
ecfdad6d,97b23c27,2321af76
5a1d57dc,51189c42,62e37c11
8095e33,6c4f68a4,232f07bf
cc339322,9a550473,b553ef8a
de8b01b7,eeeb0b82,724b9bda
69c6352c,4b1b7591,3b6ff0f8
52bdda76,5c35bd0b,28c52ec1
57346872,75a26ce4,97b9e048
5a483e6,17923cb1,4ecd065d
17bd45f5,a9e33a29,611f42ae
cad5932a,6f6ecd7d,4087363b
c99990e0,e5e48643,f8883bc4
1ad7fde7,544d2386,24817ea0
e5e110cf,82ae8616,55f69caf
fdd3cab3,609459a2,eb2ff058
5422ea30,191a3b6f,bd790669
c6d626d5,8ee68094,5b89fb90
e662ad22,17ec59ed,90e7c791
b948b7a9,54fd296c,9ea17c3f
433fd21e,6c1ee63c,16526b65
3c4450cd,3e141b3d,283694c9
444a8a93,23e07a0,f1eee827
4108ab0a,54639822,1f0ccded
1e69f60,b0567c51,2a4a5ba0
c78d0a92,f349dfce,723c1712
e8bda32e,c1113de0,c428940a
7e43065,d8670442,f0c4b079
466ac129,d2440808,5b7ec14c
cf3ad689,d4a68cc5,279936cb
23682438,ad8fd9ca,da6843b0
ba60f500,c0b37213,9f39c2c1
ed378284,55ebee1,28cf049
be2531d6,2b6eabcf,a9059333
20af7c94,da2483d3,ae159d74
17cfcf80,15604aa2,a42fa069
2b922088,4a7f01a9,ff5d4016
c0f0532a,bbdb230f,9e77e0d9
4c0b2fef,89741cd2,4d69624c
151c5845,e134f2dc,3d1880aa
44c21ebd,5ed0f141,5bd0c118
c41f5d0d,5334a226,7307157
5d45987b,ca3f0c60,1880ec5f
cfc8827b,eb51ad7f,53c7b834
ab740a99,d645be98,13d7276d
5ebc2ce2,5b1ccd8f,60caf7d7
3dbbe93d,fe86338d,ef26235e
df2f6829,269f98bc,2ebb303
2ac92230,d4e68fba,2ad7ba06
d491dc7c,95e1dfc1,b5e04130
2b1a3eee,7243084d,a0a4ee2c
2bc0fc44,2cbce942,460bb9f3
2e1d5a0a,ee59c35d,21252738
281971ec,56660663,b217fc43
9f7d3cb0,b18e908c,e581f047
4fa724b6,5ca43a00,5ee293f3
c04a13c,2140eeb7,fe12d349
4e89fb4d,e616995a,e9b92f0a
ee6bf031,e1c3dc8,3f470be8
ad8eb678,d25a4ca,becbddc3
596de223,9d91a0de,e861f9c1
d48c0862,8dbcc21f,94cd5aa4
33610c3d,24a05798,1061c60d
da8c2b18,394e063a,f62b1441
62d9c96d,5b076bcb,b812673c
d549818f,17ebc594,7581e6e3
350c1a6a,c7bf2912,686072a5
cc188ac5,2d98d8eb,13061f6d
b56baaa2,d284da37,5e8ea515
9fc8eb1e,f0604b13,7f4f1720
773f2401,79a1e337,21c5f169
fdbf486d,1f95f1cb,32dc6cde
1ab50cd8,c0f95bd8,8d483c68
3b53213c,e0fa0419,c2c97599
32ae7e5e,c1618dd2,d390a31a
7ee647b0,d5515bf1,363d4996
1846244b,60eecf27,d497e118
16e92db6,9858543,3433932b
fc7ce206,f003f6c5,fae19bbf
e53e3c28,a04ab820,207d87bd
28f8838e,19def22f,52889b8c
4979b791,c73f358a,e22e13af
af7a83cb,4ebf972f,1496b1ce
abb3ac9f,9dd90249,9088af06
717e960e,17ef3d6d,740cc194
476e9d3a,302d4e29,5158411
230a546a,7699cf71,d3bd6208
dc09ac6d,2ed2f472,8d16683b
b6def019,47007c2b,30bd84d4
7d551eb1,3c840fde,3bf8cc4d
feea8b1,5eb86b8,90666681
aebab8b,242f224c,3072c589
a7dbb973,c7ff6d19,61bb2858
e66ae18f,246edc7b,175ecdbb
e45659c5,fa41942d,4173e011
b380e9c1,fec8e3a1,9d289335
16e07256,d7755dc8,515a3cd
69a4d33b,92ba38de,8f325a31
310aeb50,57244e2b,26141ab7
44c4d7de,7b60fd5a,274aef39
a5cd35f1,ae2c7e25,dc0c0a93
4998207b,231e833f,bb52a554
be7b59b1,77770b21,2a52a896
2304a33b,2be75b3,d835c892
77805235,4b8623b2,7c628ed9
152f7bf1,6da503f1,5d1b01b4
e8aa39f6,c21f4784,83a474f5
d51281b9,a38f562e,3657722
958bf624,cf310c05,bc40ae48
169a25c5,3673c1a3,24d657b1
95f36e5e,cf81c1a6,5bc04677
6d7841c3,9a177f2a,1f570f18
5a4e8a2d,6640d072,92250c04
d46457e0,aebd6e86,1d5ca241
810828b0,8ba0a3c6,2582a029
ce0ce39e,8619a099,2ea0fffc
78fcc0ad,c3560386,f75c789a
adf66201,95ec3906,cfe2bdd3
ac9f9720,1122b895,33484c38
b3c0fd4e,b8dddd5c,91eb61c6
26766049,5ba2f804,fb6d140e
13a1ea5d,975cd965,8b4d07e6
9fe280b8,5fef9d37,87cdc15
26b51086,7638ac35,f174a2e9
c927113f,4c1219b3,423e5c4c
162abb17,b580e586,17fd3257
18f5c663,22391bb7,caa7a86b
a5264814,7e1822ec,ed1e6859
fdcd37a2,a6a3fd0,aae7e77a
c83f4e4a,56f229fa,b01c590e
443804cb,2e7c39d7,4afcf5ba
3c97fc98,d04127c8,3365c259
f559f08e,9d13391,80870711
a9240240,737d49b1,c75860a9
eddc390b,4ffba3f8,45bf95a0
e214c903,25bc18c1,2c9911c7
8e26a4f9,7329b277,5f886c4c
da90a60c,a49deca6,1ee8cc7f
ad4e84cb,f5b913cb,812f6da7
f0f86cae,b201e203,782e1f1f
e1d0dfc7,a0bc617e,ded41d82
65d652c7,137a5c10,c263aa40
f306dc77,9d29dce4,937157fe
8dd07172,894bd95e,1c475086
a62d4e10,98c2bdef,a7906192
f20ccea,df050966,2ba0005a
99c81cfa,6a8dc97a,1b2eab75
dca1ab02,1617dcc7,659e1372
4d406482,a56356e2,8a4d6b06
b1f93a3,19912f65,3bd36fbc
5b27fc3b,f79f2d71,ba549d9d
e10361a,9ae2fd94,19c0ee25
7deed7fd,118fe7ad,eea4e600
37926881,747f6c68,d3533ee7
c1c6b3f1,32385ff5,c280196b
3f8232e0,a4165c97,f41fb91d
2648b38f,5240dbf1,93e825af
439b8888,4fb9de9d,6d5bfaef
e6fe9874,7b67f2b5,4bd38689
d36f15b1,53268593,725dd94b
fa6b929b,d87eea39,20bfc3cd
b50464db,5da1b720,b983ebdb
52bda697,3ce382b4,fe3d2f16
61cd88b1,48c70458,ce86a6a8
b4e4d248,9282c676,86638869
7905e87,1e251d7c,43e557fa
8489fd7f,a611f94e,43a57bc
eab830d7,4298473b,d302c237
fee8d39a,e5363e87,8420d226
ab0f2a33,5523386f,f79fc9fe
149d8f78,735216ca,2f1211a6
8ca8fdff,89deba8f,8cb3e0f7
cecd1e12,7a33accd,d7b3bd33
